#ID;Baumart;Baumart-Code;Beschrieb;Aufnahme-Datum;BHD;D7m;SchaftLaenge_m
275;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
276;Ubrige Laubholzer;299;43;2020;1.351850874210866;0;2.9512295076955644
277;Fichte;100;50;2020;1.4685740540742631;0;2.9516914893779087
278;Fichte;100;50;2020;1.579238987626682;0;3.0677589054833563
279;Ubrige Laubholzer;299;50;2020;1.3990110864682872;0;3.1373347280750665
280;Ubrige Laubholzer;299;50;2020;1.3990110864682872;0;3.1373347280750665
281;Ubrige Laubholzer;299;50;2020;1.4324396710591625;0;3.0302267133516505
282;Ubrige Laubholzer;299;50;2020;1.4324396710591625;0;3.0302267133516505
283;Ubrige Laubholzer;299;50;2020;1.4848126539922888;0;3.0873493768129845
284;Ubrige Laubholzer;299;50;2020;1.4848126539922888;0;3.0873493768129845
285;Fichte;100;51;2020;19.146234885624096;0;18.96962912364809
286;Fichte;100;56;2020;36.98627169431026;0;30.58859506178503
287;Fichte;100;61;2020;47.15268330260507;0;35.78206166810038
288;Ahorn;203;76;2020;1.6183832730205077;0;2.700633266059374
289;Ubrige Laubholzer;299;76;2020;1.8949980058801887;0;3.7083792067414776
290;Ubrige Laubholzer;299;76;2020;1.5229923066571187;0;3.120525987871452
291;Ubrige Laubholzer;299;76;2020;1.5229923066571187;0;3.120525987871452
292;Fichte;100;84;2020;17.021471748673047;0;17.3405331630568
293;Fichte;100;84;2020;41.37131744256006;0;33.06193964722121
294;Fichte;100;84;2020;51.94877584895971;0;37.807804955625535
295;Fichte;100;84;2020;28.289464145230063;0;25.4841870959109
296;Fichte;100;84;2020;21.96719176021628;0;21.123219590924283
297;Fichte;100;84;2020;34.637418424887656;0;29.39178139657404
298;Fichte;100;84;2020;10.89268285762298;0;12.16611722632286
299;Fichte;100;84;2020;44.71779975744976;0;34.649091532852005
300;Fichte;100;84;2020;24.90503110255365;0;23.215462039689587
301;Fichte;100;84;2020;28.80044996769389;0;25.805360536259432
302;Fichte;100;84;2020;34.978932273477895;0;29.56727037934914
303;Fichte;100;84;2020;28.02370567563128;0;25.31871245570089
304;Fichte;100;84;2020;45.4905302759099;0;34.93499717528766
305;Fichte;100;84;2020;41.583567419101655;0;33.124301747675446
306;Fichte;100;88;2020;1.5502256930716918;0;3.0467640557869746
307;Ahorn;203;88;2020;1.4748723916903077;0;2.5984139396716497
308;Fichte;100;91;2020;2.1202496283714267;0;3.6194043145397337
309;Ubrige Laubholzer;299;91;2020;1.2585566797700367;0;2.8443114876154736
310;Ubrige Laubholzer;299;91;2020;1.6244670536109085;0;3.393784953323551
311;Ubrige Laubholzer;299;91;2020;1.4757189868451044;0;3.339895510266899
312;Ubrige Laubholzer;299;91;2020;1.7131814329512944;0;3.331063386846564
313;Ubrige Laubholzer;299;91;2020;1.7131814329512944;0;3.331063386846564
314;Ubrige Laubholzer;299;91;2020;1.7131814329512944;0;3.331063386846564
315;Ubrige Nadelholzer;199;91;2020;1.8103384902251365;0;3.6517262066138647
316;Ubrige Laubholzer;299;96;2020;1.2961222660504783;0;3.0113261627906924
317;Ubrige Laubholzer;299;96;2020;1.328871327453374;0;2.9152372396359705
318;Ubrige Laubholzer;299;96;2020;1.328871327453374;0;2.9152372396359705
319;Ubrige Laubholzer;299;96;2020;1.328871327453374;0;2.9152372396359705
320;Ubrige Laubholzer;299;96;2020;1.328871327453374;0;2.9152372396359705
321;Ubrige Laubholzer;299;96;2020;1.328871327453374;0;2.9152372396359705
322;Ubrige Laubholzer;299;96;2020;1.342187924230364;0;2.929320311592252
323;Fichte;100;115;2020;5.834416275450359;0;7.398475086999224
324;Ubrige Laubholzer;299;117;2020;1.5493498938224275;0;3.1730464432416334
325;Ubrige Laubholzer;299;117;2020;1.5493498938224275;0;3.1730464432416334
326;Ubrige Laubholzer;299;118;2020;1.469828253975808;0;3.0864327804260188
327;Ubrige Laubholzer;299;121;2020;1.3041818749840477;0;2.8885335830042376
328;Ubrige Laubholzer;299;121;2020;1.3041818749840477;0;2.8885335830042376
329;Ubrige Laubholzer;299;126;2020;1.351214265217161;0;2.947088059001682
330;Ubrige Laubholzer;299;126;2020;1.4075693559801463;0;2.835659745820381
331;Fichte;100;128;2020;19.578804883732285;0;19.18042429575872
332;Fichte;100;129;2020;1.9498290717788207;0;3.474869612588293
333;Fichte;100;129;2020;1.5760170214088989;0;3.0853728056103775
334;Fichte;100;159;2020;39.93968354357182;0;32.17376468204696
335;Foehre;102;168;2020;1.324890283277237;0;2.76312429628719
336;Foehre;102;168;2020;1.2185386620155496;0;2.6542736688543287
337;Ahorn;203;168;2020;1.2533413142211816;0;2.408453800343019
338;Ubrige Laubholzer;299;168;2020;1.289694416953553;0;2.8746765120774724
339;Ubrige Laubholzer;299;168;2020;1.3192277086100492;0;3.0379563627026935
340;Ubrige Laubholzer;299;168;2020;1.3192277086100492;0;3.0379563627026935
341;Ubrige Laubholzer;299;168;2020;1.2609830897738397;0;2.8336741151801017
342;Fichte;100;175;2020;1.67186046400384;0;3.1700738064459615
343;Ahorn;203;175;2020;1.4463017827037543;0;2.5727064015022103
344;Ubrige Laubholzer;299;175;2020;1.3787676209993112;0;2.9775535052823416
345;Ubrige Laubholzer;299;175;2020;1.3787676209993112;0;2.9775535052823416
346;Ubrige Laubholzer;299;175;2020;1.3787676209993112;0;2.9775535052823416
347;Ubrige Laubholzer;299;175;2020;1.310725686637478;0;3.0345941660988807
348;Ubrige Laubholzer;299;175;2020;1.3922977007248565;0;2.9881770194270785
349;Ubrige Laubholzer;299;175;2020;1.2587392616376034;0;2.6819076237323545
350;Ubrige Laubholzer;299;175;2020;1.2587392616376034;0;2.6819076237323545
351;Ubrige Laubholzer;299;175;2020;1.2587392616376034;0;2.6819076237323545
352;Ubrige Laubholzer;299;175;2020;1.2587392616376034;0;2.6819076237323545
353;Ubrige Laubholzer;299;175;2020;1.2587392616376034;0;2.6819076237323545
354;Ubrige Laubholzer;299;175;2020;1.2587392616376034;0;2.6819076237323545
355;Ubrige Laubholzer;299;175;2020;1.2587392616376034;0;2.6819076237323545
356;Fichte;100;180;2020;27.95162065467906;0;25.26255063074271
357;Tanne;101;197;2020;1.82670330567989;0;2.4828923703587815
358;Fichte;100;5;2021;29.473756796574182;0;26.14130279969483
359;Fichte;100;10;2021;1.300339643594095;0;2.772652013559814
360;Ubrige Laubholzer;299;11;2021;1.5122790148601126;0;3.2828258258729703
361;Ubrige Laubholzer;299;11;2021;1.5122790148601126;0;3.2828258258729703
362;Ubrige Laubholzer;299;25;2021;1.767120068790243;0;3.563902585843171
363;Fichte;100;31;2021;28.05855304567181;0;25.109132981878002
364;Fichte;100;43;2021;1.8129518488103296;0;3.3500924552875193
365;Ubrige Laubholzer;299;43;2021;1.402616757349594;0;3.0139995987375907
366;Ubrige Laubholzer;299;43;2021;1.402616757349594;0;3.0139995987375907
367;Fichte;100;50;2021;1.4587236617132784;0;2.951118001120274
368;Fichte;100;50;2021;1.7638808909937178;0;3.270217431914225
369;Fichte;100;50;2021;1.7638808909937178;0;3.270217431914225
370;Ubrige Laubholzer;299;50;2021;1.5118244491760056;0;3.1230925946834547
371;Ubrige Laubholzer;299;50;2021;1.5118244491760056;0;3.1230925946834547
372;Ubrige Laubholzer;299;50;2021;1.5741026986014546;0;3.1895084016449333
373;Ubrige Laubholzer;299;50;2021;1.5741026986014546;0;3.1895084016449333
374;Ubrige Laubholzer;299;50;2021;1.5741026986014546;0;3.1895084016449333
375;Ubrige Laubholzer;299;50;2021;1.5741026986014546;0;3.1895084016449333
376;Ubrige Laubholzer;299;50;2021;1.5741026986014546;0;3.1895084016449333
377;Fichte;100;71;2021;1.2500851009052172;0;2.708434119624686
378;Ubrige Laubholzer;299;71;2021;1.240925787156802;0;2.8118709631574266
379;Ubrige Laubholzer;299;71;2021;1.240925787156802;0;2.8118709631574266
380;Ubrige Laubholzer;299;76;2021;1.6136384932010326;0;3.2203902845772183
381;Foehre;102;88;2021;1.5816960350504332;0;3.0420925606585723
